Название игры	Истинные значения	Предсказанные значения	Отношение
brothers: a tale of two sons v.gog-2 (6538) [gog] (2013)	15746	22322	1.4176298742537787
breathedge	55938	50651	1.104380959902075
game dev studio (2018) pc | лицензия	42489	35077	1.2113065541522936
sherlock holmes chapter one deluxe edition [gog] (2021)	49613	24907	1.9919299795238286
vampire's fall: origins v.1.5.45 [codex] (2019)	85841	34524	2.4864152473641523
need for speed: hot pursuit 2 pc (2002) repack от decepticon	19856	33945	1.7095588235294117
zombie night terror v.1.3.13 (2016) pc | лицензия	42396	38248	1.1084501150386947
kao the kangaroo (2022)	17071	18690	1.094839200984125
souldiers (2022)	19992	23516	1.1762705082032814
myst [gog] (2021)	36651	34067	1.07585052983826
underworld ascendant (2018) pc | repack от xatab	83444	52480	1.590015243902439
tales of arise [папка игры] (2021)	72038	28898	2.4928368745241887
edge of sanity v.1.1.1 [папка игры] (2024)	25116	30646	1.2201783723522854
serious sam 3: bfe (2011) pc | repack от xatab	76382	54135	1.4109540962408793
the forgotten city (2021)	39916	25814	1.5462927093825056
blades of time: limited edition [gog] (2012) pc | лицензия	64763	32247	2.008341861258412
decay: the mare (2015) pc | repack от xatab	40289	33622	1.1982927844863482
freeman: guerrilla warfare (2018) repack от xatab	64978	49144	1.3221959954419664
легенды эйзенвальда / legends of eisenwald [update 10 + 1 dlc] (2015) pc | repack от xatab	59894	49205	1.217234020932832
the walking dead: destinies v.1.2.0.6 [папка игры] (2023)	28769	24176	1.1899818001323628
descenders (2019)  repack от xatab	39026	43939	1.1258904320196792
neon white (2022)	18411	25499	1.3849872358915865
suzerain presidential edition v1.1.8 [gog] (2020)	12243	25113	2.0512129380053907
oddworld: soulstorm [portable] (2021)	71788	28344	2.53274061529777
corsairs legacy - pirate action rpg & sea battles	17446	34612	1.9839504757537545
tormentum: dark sorrow [gog] (2015) pc | лицензия	26427	29303	1.1088280924811746
metal gear solid 2: sons of liberty - master collection version v.2.0.0 [папка игры] (2023)	56820	28570	1.9887994399719986
the alien cube [папка игры] (2021)	27318	32681	1.1963174463723552
homeworld 3 [v 1.22-cl363716 + dlcs] (2024) repack от decepticon	18283	23224	1.2702510528906634
parkitect v.1.10c [gog] (2018)	72361	25599	2.8267119809367554
yakuza 0 v1.015a [gog] (2018)	11590	21699	1.8722174288179465
transport fever 2 [gog] (2019) pc | лицензия	63680	26222	2.4284951567386166
ultimate fishing simulator [v 2.20.9:500+dlc] (2017) pc | repack от xatab	71274	46394	1.5362762426175798
south park: stick of truth  (2014) pc | repack от xatab	95630	58321	1.6397181118293582
kingdom of the dead v.1.21 [архив] (2021)	59852	30037	1.99260911542431
dishonored: death of the outsider [gog] (2017) pc | лицензия	34192	23846	1.4338673152730017
scorn (2022)	34218	25577	1.3378425929546076
heaven dust (2020) pc | лицензия	16582	29378	1.7716801350862381
before we leave	81070	40561	1.998717980325929
planet alpha (2018) pc | лицензия	60174	28600	2.103986013986014
nioh 2 - the complete edition [portable] (2021)	56814	32745	1.7350435180943655
styx: master of shadows v1.02 [gog] (2014)	15943	30821	1.9331995233017625
bastion (2011) pc | лицензия	15652	23288	1.4878609762330692
carmageddon: max damage [update 3 + 1 dlc] (2016) pc | repack от xatab	46889	44089	1.0635079044659665
europa (15/10/2024) [папка игры] (2024)	77859	32562	2.3911000552791597
astalon: tears of the earth v1.0.14 (47877) [gog] (2021)	9115	25326	2.778496982995063
tom clancy's rainbow six v.001.04 (19237) [gog] (1998)	16972	24792	1.4607588970068348
panzer corps gold edition v.1.30 (20676) [gog] (2010)	33457	25684	1.3026397757358668
train sim world 2 [portable] (2020) pc | лицензия	49683	33121	1.5000452884876665
wasteland remastered [gog] (2019) pc | лицензия	75196	26764	2.8095949783290988
valkyrie elysium [папка игры] (2022)	22239	30921	1.3903952515850533
tetris effect  (2019) repack от xatab	38908	42527	1.0930142901202837
lego marvel super heroes	67024	58278	1.1500737842753699
resident evil 5 gold edition [v 1.2.0 build 11465250] (2015) pc | repack от decepticon	25186	34410	1.3662352100373223
alien: isolation : digital deluxe edition (2014) pc | repack от xatab	97990	62078	1.578498018621734
train simulator 2014 (2013) рс | repack от xatab	54144	49923	1.0845502073192717
overpass™ [codex] (2020) pc | лицензия	47238	38722	1.2199266566809566
strange brigade (2018) pc | repack от xatab	66590	58273	1.1427247610385598
dirt rally [v 1.23] (2015) pc | repack от xatab	88873	50606	1.7561751570959965
endzone 2 v.0.8.9006.19822 [папка игры] (early access)	88620	28451	3.1148290042529263
king's bounty: crossworlds goty / king's bounty: перекрестки миров v1.3.1 [gog] (2009)	18566	25489	1.3728859204998385
grid 2 (2013) pc | repack от xatab	77691	50274	1.5453514739229024
farming simulator 15: gold edition [v 1.4.1 + dlc's] (2014) pc | repack от xatab	28761	46806	1.627412120579952
rad rodgers radical edition v.1.5.2 (27873) [gog] (2018)	10584	24874	2.350151171579743
drake hollow	23019	42232	1.834658325730918
in sound mind - deluxe edition [gog] (2021)	35020	22354	1.5666100026840835
undermine (2020) pc | лицензия	50191	31011	1.6184902131501726
resident evil 5 - gold edition (2009) pc | лицензия	33456	38508	1.1510043041606888
survival & horror: hangman's rope	19530	28839	1.4766513056835637
ghost of a tale {v 7.91} (seithcg) (rus/eng/multi6) [repack] by xatab	46185	44839	1.0300185106715136
gears of war v.1.0.3340.131 [1с] (2007) pc | лицензия	57328	42365	1.3531924938038475
dragon age: origins - ultimate edition (2009) pc | лицензия	71717	30900	2.320938511326861
the ball (2010) pc | лицензия	21963	31890	1.4519874334107363
a quiet place: the road ahead v.1.0.0 build 45412.11492 [папка игры] (2024)	51583	33661	1.5324262499628651
desperados iii	98096	47685	2.057166823948831
teenage mutant ninja turtles the cowabunga collection (2022)	29620	31058	1.0485482781904119
homeseek (2023)	42290	24904	1.6981207838098298
deus ex goty edition v.1.112fm (revision 1.6.1.0) (45326) [gog] (2000)	31806	25042	1.2701062215477996
marz tactical base defense [v20190502] (2019)  repack от xatab	28324	47305	1.670138398531281
webbed v.1.04b (51339) [gog] (2021)	11635	25112	2.1583154275891707
deus ex: mankind divided digital deluxe edition	70544	49120	1.436156351791531
jade empire special edition	50193	51638	1.0287888749427212
company of heroes 3 (2023)	27308	29579	1.0831624432400762
60 seconds! reatomized [steam] (2015-2019)	14902	27634	1.854381962152731
the elder scrolls v: skyrim vr	53169	62367	1.1729955425153755
gish (2004) pc | лицензия	18241	28414	1.5576996875171318
scythe digital edition [gog]	35656	27054	1.3179566792341244
atom rpg - dilogy (2020-2021) pc | repack от decepticon	16728	28330	1.6935676709708274
night in the woods weird autumn edition [gog] (2017)	16405	26642	1.6240170679670831
apsulov. end of gods v.1.1.7 [gog] (2019) pc | лицензия	94419	28850	3.272755632582322
warhammer 40000: dawn of war – dark crusade	63224	50307	1.2567634722801995
final fantasy v [папка игры] (1992-2021)	9331	25820	2.7671203515164504
dark envoy v.1.5.1.73535 [gog] (2023)	72077	25197	2.860538953049966
lords of the fallen game of the year edition v1.0.0 [gog] (2014)	28013	26502	1.0570145649384952
halo 4 [p] (2012-2020) pc | лицензия	83146	43149	1.9269507983962548
