Название игры	Истинные значения	Предсказанные значения	Отношение
the matrix: path of neo v.1.2 [l] (2005) (2019) pc | лицензия	45546	33932	1.3422727808558292
scarf [gog] (2021)	11188	21005	1.877457990704326
remoteness [portable] (2022) pc | лицензия	17978	28160	1.5663588830793191
lightyear frontier v.0.2.687 [папка игры] (early access)	41090	27004	1.521626425714709
brothers: a tale of two sons v.gog-2 (6538) [gog] (2013)	15746	20959	1.331068207798806
breathedge	55938	50651	1.104380959902075
game dev studio (2018) pc | лицензия	42489	34749	1.2227402227402226
sherlock holmes chapter one deluxe edition [gog] (2021)	49613	23366	2.1232988102370967
vampire's fall: origins v.1.5.45 [codex] (2019)	85841	34524	2.4864152473641523
need for speed: hot pursuit 2 pc (2002) repack от decepticon	19856	33945	1.7095588235294117
zombie night terror v.1.3.13 (2016) pc | лицензия	42396	35830	1.18325425620988
kao the kangaroo (2022)	17071	16202	1.053635353660042
souldiers (2022)	19992	20606	1.0307122849139656
myst [gog] (2021)	36651	32866	1.1151646078013753
underworld ascendant (2018) pc | repack от xatab	83444	52480	1.590015243902439
tales of arise [папка игры] (2021)	72038	26547	2.713602290277621
edge of sanity v.1.1.1 [папка игры] (2024)	25116	29468	1.1732759993629558
serious sam 3: bfe (2011) pc | repack от xatab	76382	55054	1.3874014603843499
the forgotten city (2021)	39916	24367	1.6381171256207165
blades of time: limited edition [gog] (2012) pc | лицензия	64763	36065	1.795729932067101
decay: the mare (2015) pc | repack от xatab	40289	33622	1.1982927844863482
freeman: guerrilla warfare (2018) repack от xatab	64978	48665	1.3352101099352718
легенды эйзенвальда / legends of eisenwald [update 10 + 1 dlc] (2015) pc | repack от xatab	59894	49205	1.217234020932832
the walking dead: destinies v.1.2.0.6 [папка игры] (2023)	28769	22332	1.28824108902024
descenders (2019)  repack от xatab	39026	43939	1.1258904320196792
neon white (2022)	18411	22388	1.216012166639509
suzerain presidential edition v1.1.8 [gog] (2020)	12243	20378	1.6644613248386833
oddworld: soulstorm [portable] (2021)	71788	25410	2.8251869342778435
corsairs legacy - pirate action rpg & sea battles	17446	32640	1.870915969276625
tormentum: dark sorrow [gog] (2015) pc | лицензия	26427	28434	1.0759450561925303
metal gear solid 2: sons of liberty - master collection version v.2.0.0 [папка игры] (2023)	56820	28570	1.9887994399719986
the alien cube [папка игры] (2021)	27318	28761	1.0528223149571712
homeworld 3 [v 1.22-cl363716 + dlcs] (2024) repack от decepticon	18283	23224	1.2702510528906634
parkitect v.1.10c [gog] (2018)	72361	23709	3.0520477455818464
yakuza 0 v1.015a [gog] (2018)	11590	19040	1.6427955133735979
transport fever 2 [gog] (2019) pc | лицензия	63680	25466	2.500589020654991
ultimate fishing simulator [v 2.20.9:500+dlc] (2017) pc | repack от xatab	71274	46394	1.5362762426175798
south park: stick of truth  (2014) pc | repack от xatab	95630	58321	1.6397181118293582
kingdom of the dead v.1.21 [архив] (2021)	59852	29644	2.0190257725003375
dishonored: death of the outsider [gog] (2017) pc | лицензия	34192	37746	1.1039424426766495
scorn (2022)	34218	23335	1.466380972787658
heaven dust (2020) pc | лицензия	16582	27744	1.6731395489084548
before we leave	81070	40561	1.998717980325929
planet alpha (2018) pc | лицензия	60174	28600	2.103986013986014
nioh 2 - the complete edition [portable] (2021)	56814	30962	1.8349589819779084
styx: master of shadows v1.02 [gog] (2014)	15943	28312	1.775826381484037
bastion (2011) pc | лицензия	15652	21073	1.3463455149501662
carmageddon: max damage [update 3 + 1 dlc] (2016) pc | repack от xatab	46889	44089	1.0635079044659665
europa (15/10/2024) [папка игры] (2024)	77859	31262	2.490531635851833
astalon: tears of the earth v1.0.14 (47877) [gog] (2021)	9115	22768	2.4978606692265495
tom clancy's rainbow six v.001.04 (19237) [gog] (1998)	16972	21613	1.2734503888757955
panzer corps gold edition v.1.30 (20676) [gog] (2010)	33457	24523	1.3643110549280268
train sim world 2 [portable] (2020) pc | лицензия	49683	32952	1.5077385287691187
wasteland remastered [gog] (2019) pc | лицензия	75196	25272	2.9754669199113644
valkyrie elysium [папка игры] (2022)	22239	29361	1.3202482125994874
tetris effect  (2019) repack от xatab	38908	42527	1.0930142901202837
lego marvel super heroes	67024	58278	1.1500737842753699
resident evil 5 gold edition [v 1.2.0 build 11465250] (2015) pc | repack от decepticon	25186	34410	1.3662352100373223
alien: isolation : digital deluxe edition (2014) pc | repack от xatab	97990	62078	1.578498018621734
islets [gog] (2022)	7799	21465	2.752275932811899
train simulator 2014 (2013) рс | repack от xatab	54144	49923	1.0845502073192717
overpass™ [codex] (2020) pc | лицензия	47238	38722	1.2199266566809566
strange brigade (2018) pc | repack от xatab	66590	58273	1.1427247610385598
dirt rally [v 1.23] (2015) pc | repack от xatab	88873	50606	1.7561751570959965
endzone 2 v.0.8.9006.19822 [папка игры] (early access)	88620	27330	3.242590559824369
king's bounty: crossworlds goty / king's bounty: перекрестки миров v1.3.1 [gog] (2009)	18566	24509	1.3201012603684155
grid 2 (2013) pc | repack от xatab	77691	50274	1.5453514739229024
startup panic v.3.15 (52858) [gog] (2022)	7867	23796	3.024787085292996
farming simulator 15: gold edition [v 1.4.1 + dlc's] (2014) pc | repack от xatab	28761	46806	1.627412120579952
rad rodgers radical edition v.1.5.2 (27873) [gog] (2018)	10584	22403	2.1166855631141344
