Название игры	Истинные значения	Предсказанные значения	Отношение
strange brigade (2018) pc | repack от xatab	66590	59519	1.118802399233858
dirt rally [v 1.23] (2015) pc | repack от xatab	88873	54275	1.6374573929064946
endzone 2 v.0.8.9006.19822 [папка игры] (early access)	88620	33588	2.638442300821722
king's bounty: crossworlds goty / king's bounty: перекрестки миров v1.3.1 [gog] (2009)	18566	25886	1.3942690940428741
grid 2 (2013) pc | repack от xatab	77691	41637	1.8659125297211614
farming simulator 15: gold edition [v 1.4.1 + dlc's] (2014) pc | repack от xatab	28761	39453	1.3717534160842808
rad rodgers radical edition v.1.5.2 (27873) [gog] (2018)	10584	21811	2.0607520786092213
drake hollow	23019	34227	1.4869021243320735
in sound mind - deluxe edition [gog] (2021)	35020	20048	1.7468076616121309
undermine (2020) pc | лицензия	50191	28813	1.7419567556311388
resident evil 5 - gold edition (2009) pc | лицензия	33456	43286	1.2938187470109994
survival & horror: hangman's rope	19530	31587	1.617357910906298
ghost of a tale {v 7.91} (seithcg) (rus/eng/multi6) [repack] by xatab	46185	53534	1.1591209267078055
gears of war v.1.0.3340.131 [1с] (2007) pc | лицензия	57328	50496	1.135297845373891
dragon age: origins - ultimate edition (2009) pc | лицензия	71717	32313	2.2194472812799804
the ball (2010) pc | лицензия	21963	45309	2.0629695396803713
a quiet place: the road ahead v.1.0.0 build 45412.11492 [папка игры] (2024)	51583	42891	1.2026532372758854
desperados iii	98096	52072	1.8838531264403133
teenage mutant ninja turtles the cowabunga collection (2022)	29620	30625	1.0339297771775826
homeseek (2023)	42290	25271	1.6734596968857585
deus ex goty edition v.1.112fm (revision 1.6.1.0) (45326) [gog] (2000)	31806	27991	1.1362938087242327
marz tactical base defense [v20190502] (2019)  repack от xatab	28324	37742	1.3325095325518994
webbed v.1.04b (51339) [gog] (2021)	11635	18799	1.6157284056725398
deus ex: mankind divided digital deluxe edition	70544	50994	1.3833784366788249
jade empire special edition	50193	47649	1.0533904174274382
company of heroes 3 (2023)	27308	28400	1.0399882818221766
60 seconds! reatomized [steam] (2015-2019)	14902	32448	2.177425848879345
the elder scrolls v: skyrim vr	53169	62867	1.1823995185164287
gish (2004) pc | лицензия	18241	30230	1.6572556329148622
scythe digital edition [gog]	35656	22995	1.5505979560774081
atom rpg - dilogy (2020-2021) pc | repack от decepticon	16728	33411	1.997309899569584
night in the woods weird autumn edition [gog] (2017)	16405	27401	1.6702834501676318
apsulov. end of gods v.1.1.7 [gog] (2019) pc | лицензия	94419	27761	3.4011382875256655
warhammer 40000: dawn of war – dark crusade	63224	69515	1.099503353157029
final fantasy v [папка игры] (1992-2021)	9331	28974	3.1051334262136963
dark envoy v.1.5.1.73535 [gog] (2023)	72077	23662	3.0461076832051392
lords of the fallen game of the year edition v1.0.0 [gog] (2014)	28013	28107	1.0033555849070075
halo 4 [p] (2012-2020) pc | лицензия	83146	39871	2.0853753354568485
tales from the borderlands: episode 1-4 (2014) pc | repack от xatab	36119	51068	1.4138818904177857
bloodstained: ritual of the night	86322	51127	1.6883838285054864
the medium	94543	49474	1.9109633342765897
dreamfall chapters: books 1-5 (2014) pc | repack от xatab	41963	55548	1.3237375783428258
the room 4: old sins [codex] (2021) pc | лицензия	50543	29428	1.7175139323093653
the dungeon of naheulbeuk: the amulet of chaos	40926	44996	1.0994477838049161
unravel two (2018) pc | repack by xatab	55738	56973	1.0221572356381643
f1 2016 (2017) pc | repack от xatab	31302	52549	1.6787745192000512
pandemic train (2023)	24373	22254	1.0952188370629998
moviehouse – the film studio tycoon (2023)	12501	28299	2.263738900887929
pathologic 2 (v.1.5.29823) (2019) pc | repack от xatab	69788	55476	1.257985435143125
gylt (2023)	19978	18230	1.0958859023587493
nier replicant ver.1.22474487139... [build 7396468 + dlc] (2021) pc | repack от decepticon	26407	40397	1.5297837694550687
youtubers life (2017) pc | лицензия	46536	35409	1.3142421418283488
